"HONG KONG, HONG KONG",,"ROCHELLE, IL","VANCOUVER, CANADA",20 ,Y/R,APLU,7/15/2018,7/31/2018,3307,3932,3932,4973,,FAK (Straight load only),
"YANTIAN, CHINA",,"ROCHELLE, IL","VANCOUVER, CANADA",19 ,Y/R,APLU,7/15/2018,7/31/2018,3307,3932,3932,4973,,FAK (Straight load only),
"NANSHA, CHINA",,"SALT LAKE CITY, UT","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"SALT LAKE CITY, UT","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"YANTIAN, CHINA",,"SALT LAKE CITY, UT","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"NANSHA, CHINA",,"SAN ANTONIO, TX","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"SAN ANTONIO, TX","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"YANTIAN, CHINA",,"SAN ANTONIO, TX","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3637,4322,4322,5469,,FAK (Straight load only),
"NANSHA, CHINA",,"SANTA TERESA, NM","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"SANTA TERESA, NM","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"YANTIAN, CHINA",,"SANTA TERESA, NM","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3297,3922,3922,4963,,FAK (Straight load only),
"NANSHA, CHINA",,"ST LOUIS, MO","SAN PEDRO, CA",17 ,Y/R,APLU,7/15/2018,7/31/2018,3467,4122,4122,5216,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"ST LOUIS, MO","SAN PEDRO, CA",16 ,Y/R,APLU,7/15/2018,7/31/2018,3467,4122,4122,5216,,FAK (Straight load only),
